,country,beer_servings,spirit_servings,wine_servings
0,Afghanistan,0,0,0
1,Albania,89,132,54
2,Algeria,25,0,14
3,Andorra,245,138,312
4,Angola,217,57,45
5,Antigua & Barbuda,102,128,45
6,Argentina,193,25,221
7,Armenia,21,179,11
8,Australia,261,72,212
9,Austria,279,75,191
10,Azerbaijan,21,46,5
11,Bahamas,122,176,51
12,Bahrain,42,63,7
13,Bangladesh,0,0,0
14,Barbados,143,173,36
15,Belarus,142,373,42
16,Belgium,295,84,212
17,Belize,263,114,8
18,Benin,34,4,13
19,Bhutan,23,0,0
20,Bolivia,167,41,8
21,Bosnia-Herzegovina,76,173,8
22,Botswana,173,35,35
23,Brazil,245,145,16
24,Brunei,31,2,1
25,Bulgaria,231,252,94
26,Burkina Faso,25,7,7
27,Burundi,88,0,0
28,Cote d'Ivoire,37,1,7
29,Cabo Verde,144,56,16
30,Cambodia,57,65,1
31,Cameroon,147,1,4
32,Canada,240,122,100
33,Central African Republic,17,2,1
34,Chad,15,1,1
35,Chile,130,124,172
36,China,79,192,8
37,Colombia,159,76,3
38,Comoros,1,3,1
39,Congo,76,1,9
40,Cook Islands,0,254,74
41,Costa Rica,149,87,11
42,Croatia,230,87,254
43,Cuba,93,137,5
44,Cyprus,192,154,113
45,Czech Republic,361,170,134
46,North Korea,0,0,0
47,DR Congo,32,3,1
48,Denmark,224,81,278
49,Djibouti,15,44,3
50,Dominica,52,286,26
51,Dominican Republic,193,147,9
52,Ecuador,162,74,3
53,Egypt,6,4,1
54,El Salvador,52,69,2
55,Equatorial Guinea,92,0,233
56,Eritrea,18,0,0
57,Estonia,224,194,59
58,Ethiopia,20,3,0
59,Fiji,77,35,1
60,Finland,263,133,97
61,France,127,151,370
62,Gabon,347,98,59
63,Gambia,8,0,1
64,Georgia,52,100,149
65,Germany,346,117,175
66,Ghana,31,3,10
67,Greece,133,112,218
68,Grenada,199,438,28
69,Guatemala,53,69,2
70,Guinea,9,0,2
71,Guinea-Bissau,28,31,21
72,Guyana,93,302,1
73,Haiti,1,326,1
74,Honduras,69,98,2
75,Hungary,234,215,185
76,Iceland,233,61,78
77,India,9,114,0
78,Indonesia,5,1,0
79,Iran,0,0,0
80,Iraq,9,3,0
81,Ireland,313,118,165
82,Israel,63,69,9
83,Italy,85,42,237
84,Jamaica,82,97,9
85,Japan,77,202,16
86,Jordan,6,21,1
87,Kazakhstan,124,246,12
88,Kenya,58,22,2
89,Kiribati,21,34,1
90,Kuwait,0,0,0
91,Kyrgyzstan,31,97,6
92,Laos,62,0,123
93,Latvia,281,216,62
94,Lebanon,20,55,31
95,Lesotho,82,29,0
96,Liberia,19,152,2
97,Libya,0,0,0
98,Lithuania,343,244,56
99,Luxembourg,236,133,271
100,Madagascar,26,15,4
101,Malawi,8,11,1
102,Malaysia,13,4,0
103,Maldives,0,0,0
104,Mali,5,1,1
105,Malta,149,100,120
106,Marshall Islands,0,0,0
107,Mauritania,0,0,0
108,Mauritius,98,31,18
109,Mexico,238,68,5
110,Micronesia,62,50,18
111,Monaco,0,0,0
112,Mongolia,77,189,8
113,Montenegro,31,114,128
114,Morocco,12,6,10
115,Mozambique,47,18,5
116,Myanmar,5,1,0
117,Namibia,376,3,1
118,Nauru,49,0,8
119,Nepal,5,6,0
120,Netherlands,251,88,190
121,New Zealand,203,79,175
122,Nicaragua,78,118,1
123,Niger,3,2,1
124,Nigeria,42,5,2
125,Niue,188,200,7
126,Norway,169,71,129
127,Oman,22,16,1
128,Pakistan,0,0,0
129,Palau,306,63,23
130,Panama,285,104,18
131,Papua New Guinea,44,39,1
132,Paraguay,213,117,74
133,Peru,163,160,21
134,Philippines,71,186,1
135,Poland,343,215,56
136,Portugal,194,67,339
137,Qatar,1,42,7
138,South Korea,140,16,9
139,Moldova,109,226,18
140,Romania,297,122,167
141,Russian Federation,247,326,73
142,Rwanda,43,2,0
143,St. Kitts & Nevis,194,205,32
144,St. Lucia,171,315,71
145,St. Vincent & the Grenadines,120,221,11
146,Samoa,105,18,24
147,San Marino,0,0,0
148,Sao Tome & Principe,56,38,140
149,Saudi Arabia,0,5,0
150,Senegal,9,1,7
151,Serbia,283,131,127
152,Seychelles,157,25,51
153,Sierra Leone,25,3,2
154,Singapore,60,12,11
155,Slovakia,196,293,116
156,Slovenia,270,51,276
157,Solomon Islands,56,11,1
158,Somalia,0,0,0
159,South Africa,225,76,81
160,Spain,284,157,112
161,Sri Lanka,16,104,0
162,Sudan,8,13,0
163,Suriname,128,178,7
164,Swaziland,90,2,2
165,Sweden,152,60,186
166,Switzerland,185,100,280
167,Syria,5,35,16
168,Tajikistan,2,15,0
169,Thailand,99,258,1
170,Macedonia,106,27,86
171,Timor-Leste,1,1,4
172,Togo,36,2,19
173,Tonga,36,21,5
174,Trinidad & Tobago,197,156,7
175,Tunisia,51,3,20
176,Turkey,51,22,7
177,Turkmenistan,19,71,32
178,Tuvalu,6,41,9
179,Uganda,45,9,0
180,Ukraine,206,237,45
181,United Arab Emirates,16,135,5
182,United Kingdom,219,126,195
183,Tanzania,36,6,1
184,USA,249,158,84
185,Uruguay,115,35,220
186,Uzbekistan,25,101,8
187,Vanuatu,21,18,11
188,Venezuela,333,100,3
189,Vietnam,111,2,1
190,Yemen,6,0,0
191,Zambia,32,19,4
192,Zimbabwe,64,18,4
